ts_code,time,open,close,high,low,vol,amount,pct_change_1m
NVDA.US,202606261600,192.96,192.97,192.97,192.95,6145,1184612,0.01
AMD.US,202606261600,524.53,524.03,524.71,523.97,37421,19650028,-0.09
INTC.US,202606261600,128.62,128.32,128.7,127.655,21728777,2785644608,-0.24
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
QCOM.US,202606261600,189.37,189.39,189.64,188.46,15555550,2940413616,0.01
AVGO.US,202606261600,366.065,366.055,366.12,366.0,13792,5038615,-0.01
TSM.US,202606261600,432.48,432.26,432.89,431.8,361553,156052001,-0.05
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
MU.US,202606261600,1133.598,1122.99,1134.4,1121.56,1049771,1183741456,-0.94
AMAT.US,202606261600,627.68,623.85,628.325,623.34,460827,286454704,-0.61
LRCX.US,202606261600,379.8,377.63,379.94,377.43,516726,195476011,-0.57
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
ASML.US,202606261600,1801.92,1801.32,1801.93,1800.82,5785,10468885,-0.03
GOOGL.US,202606261600,337.75,336.1,337.9,335.58,1933582,649972096,-0.49
MSFT.US,202606261600,374.12,371.34,374.13,371.07,2144333,803255744,-0.74
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
META.US,202606261600,550.99,550.72,551.0,550.43,97760,53850035,-0.05
AAPL.US,202606261600,284.425,281.3,284.57,281.2,3728357,1066065184,-1.1
PLTR.US,202606261600,113.335,113.29,113.34,113.29,27830,3159220,-0.04
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
SNOW.US,202606261600,248.21,248.96,248.93,247.56,17059218,4247243520,0.29
BABA.US,202606261600,95.13,94.83,95.13,94.83,349986,33214627,-0.32
TSLA.US,202606261600,380.34,379.19,380.34,378.96,798260,303068432,-0.31
ts_code,time,open,close,high,low,vol,amount,pct_change_1m
CCJ.US,202606261600,104.52,104.49,104.62,104.44,444514,46425999,-0.02
CEG.US,202606261600,264.51,264.53,264.58,264.5,4744,1256633,0.01
OKLO.US,202606261600,50.05,50.07,50.1,50.03,42499,2123599,0.08
